buying,maint,doors,persons,lug_boot,safety,class
HIGH,high,5more,2,med,LOW,unacc
high,med,3,more,BIG,LOW,unacc
vhigh,MED,3,more,small,med,unacc
vhigh,med,4,2,small,LOW,unacc
,,,,,,
HIGH,med,5more,2,MED,high,unacc
med,low,3,2,small,MED,UNACC
NaN,NaN,NaN,,NaN,0,NaN
med,high,3,2,small,high,unacc
VHIGH,high,4,2,SMALL,high,unacc
low,vhigh,3,2,small,med,unacc
vhigh,vhigh,2,2,big,low,UNACC
high,vhigh,4,more,big,low,unacc
low,low,4,4,small,MED,acc
VHIGH,low,2,2,small,HIGH,unacc
low,low,5more,2,small,MED,unacc
vhigh,med,3,2,med,high,unacc
MED,MED,3,2,big,med,unacc
NaN,0,,,NaN,0,0
low,VHIGH,3,MORE,small,high,acc
LOW,med,4,2,BIG,med,UNACC
VHIGH,med,5MORE,2,med,med,unacc
high,vhigh,3,4,small,low,unacc
high,low,3,4,small,low,UNACC
high,med,4,2,small,med,unacc
MED,med,3,more,med,low,UNACC
HIGH,med,2,MORE,small,med,unacc
VHIGH,vhigh,4,2,small,LOW,UNACC
high,HIGH,3,4,BIG,med,ACC
vhigh,high,2,more,med,LOW,unacc
low,vhigh,4,more,med,low,unacc
0,0,NaN,NaN,NaN,NaN,0
vhigh,MED,4,2,med,low,unacc
high,LOW,4,more,big,high,ACC
med,low,3,2,BIG,med,unacc
high,HIGH,5more,4,small,high,acc
VHIGH,high,3,4,big,HIGH,UNACC
high,vhigh,4,4,SMALL,LOW,unacc
MED,med,5more,2,med,high,unacc
low,vhigh,5MORE,2,small,med,unacc
high,low,2,more,big,med,acc
low,med,3,4,big,med,good
low,high,5more,2,med,high,unacc
low,low,3,4,big,low,UNACC
vhigh,vhigh,3,more,big,low,unacc
med,med,2,4,med,med,ACC
VHIGH,vhigh,4,4,med,low,unacc
med,med,2,2,small,low,unacc
,0,,0,0,NaN,NaN
HIGH,med,4,more,small,med,unacc
high,MED,4,2,med,med,unacc
med,low,2,more,big,high,vgood
low,high,4,2,small,MED,unacc
high,vhigh,4,more,BIG,high,unacc
med,HIGH,3,4,med,high,ACC
NaN,,NaN,NaN,NaN,,NaN
LOW,high,3,2,med,med,unacc
,,0,0,NaN,,0
,,,,,,
med,MED,2,2,small,high,UNACC
MED,high,5more,2,small,MED,unacc
high,med,4,2,big,low,unacc
vhigh,vhigh,3,2,small,low,unacc
high,LOW,2,more,small,MED,UNACC
vhigh,MED,3,2,med,med,UNACC
vhigh,MED,2,4,med,MED,unacc
high,MED,4,MORE,big,low,unacc
vhigh,VHIGH,5more,4,SMALL,med,unacc
high,med,5more,2,big,low,UNACC
LOW,LOW,5MORE,4,SMALL,MED,acc
high,med,4,4,MED,med,ACC
,,,,,,
vhigh,high,3,4,small,med,unacc
high,low,4,2,BIG,med,unacc
low,LOW,3,2,small,HIGH,unacc
vhigh,MED,3,4,MED,high,ACC
high,high,2,more,SMALL,high,unacc
LOW,VHIGH,3,4,small,med,unacc
low,low,5MORE,2,big,high,unacc
high,low,4,more,BIG,med,acc
med,vhigh,3,4,big,high,ACC
0,,NaN,NaN,NaN,,
med,med,2,2,med,med,unacc
vhigh,med,4,more,med,med,ACC
VHIGH,low,4,4,small,high,acc
VHIGH,high,2,2,big,low,UNACC
VHIGH,med,2,more,small,med,unacc
low,vhigh,3,2,med,med,unacc
low,low,5more,4,small,low,unacc
vhigh,HIGH,5MORE,4,big,high,unacc
,0,,NaN,0,,NaN
vhigh,med,5more,more,big,LOW,UNACC
LOW,med,5more,4,MED,med,good
low,high,3,4,big,med,acc
low,low,2,4,med,LOW,unacc
low,med,2,more,MED,med,acc
high,vhigh,3,2,big,med,unacc
high,MED,5MORE,more,small,med,unacc
high,vhigh,2,MORE,med,med,unacc
HIGH,low,3,2,MED,med,UNACC
NaN,NaN,0,,NaN,NaN,
high,med,2,4,small,MED,unacc
high,HIGH,2,more,BIG,med,acc
low,vhigh,5MORE,4,big,HIGH,acc
high,vhigh,5more,4,small,HIGH,UNACC
high,high,3,4,med,low,unacc
low,high,5MORE,MORE,SMALL,low,unacc
,,,,,,
med,low,5more,more,med,LOW,UNACC
vhigh,HIGH,2,4,med,low,UNACC
med,low,5more,more,small,low,UNACC
vhigh,MED,4,2,small,high,unacc
vhigh,med,2,4,small,LOW,unacc
med,med,2,MORE,med,high,acc
low,low,2,more,med,high,good
LOW,med,2,4,BIG,low,UNACC
VHIGH,MED,3,2,SMALL,MED,unacc
HIGH,high,3,2,big,low,UNACC
vhigh,VHIGH,2,4,med,low,unacc
LOW,vhigh,5more,4,med,med,ACC
high,high,2,more,med,low,unacc
vhigh,med,3,4,med,LOW,unacc
med,low,4,MORE,small,HIGH,good
HIGH,HIGH,5more,2,med,med,unacc
low,vhigh,2,4,small,high,acc
,NaN,0,,NaN,NaN,0
LOW,MED,3,more,med,high,vgood
high,vhigh,2,more,big,high,unacc
high,low,3,2,small,med,unacc
med,low,4,2,small,MED,UNACC
vhigh,vhigh,2,more,small,low,unacc
med,vhigh,2,more,big,low,unacc
VHIGH,low,5more,more,SMALL,HIGH,acc
low,low,5more,more,SMALL,LOW,unacc
high,low,5more,more,med,high,acc
VHIGH,med,2,MORE,big,LOW,UNACC
high,high,4,4,med,MED,acc
high,LOW,5more,4,big,HIGH,ACC
med,low,3,2,BIG,LOW,unacc
MED,vhigh,5more,2,med,LOW,unacc
low,HIGH,4,2,small,high,unacc
med,med,4,4,MED,low,unacc
low,high,3,more,small,med,acc
vhigh,med,2,4,MED,LOW,unacc
0,0,NaN,0,NaN,NaN,0
vhigh,high,2,2,small,med,UNACC
LOW,med,2,4,BIG,low,UNACC
low,med,5more,2,med,high,UNACC
vhigh,high,3,more,BIG,high,UNACC
med,high,4,MORE,med,low,UNACC
LOW,vhigh,3,2,MED,low,unacc
high,vhigh,2,4,big,high,UNACC
vhigh,HIGH,4,more,MED,HIGH,unacc
low,low,4,2,med,LOW,UNACC
high,vhigh,4,more,big,med,unacc
med,high,3,2,small,high,unacc
low,med,3,more,small,low,unacc
VHIGH,vhigh,4,2,MED,LOW,unacc
low,high,5more,2,med,med,unacc
MED,HIGH,2,4,BIG,MED,acc
med,med,4,more,BIG,med,acc
low,high,4,more,small,low,UNACC
NaN,,NaN,0,,,NaN
vhigh,vhigh,3,4,small,MED,unacc
VHIGH,med,4,more,small,med,unacc
VHIGH,low,2,2,small,HIGH,unacc
,,0,0,NaN,NaN,
high,LOW,4,2,med,HIGH,unacc
low,HIGH,3,more,MED,high,vgood
,,,,NaN,,
,,,,,,
high,HIGH,2,more,small,med,UNACC
vhigh,vhigh,4,more,small,low,UNACC
vhigh,high,4,4,med,med,unacc
low,vhigh,5MORE,2,small,high,UNACC
vhigh,high,2,MORE,big,med,UNACC
high,med,5MORE,more,med,high,ACC
MED,low,2,4,small,LOW,unacc
vhigh,MED,4,more,BIG,HIGH,acc
high,vhigh,3,more,MED,HIGH,unacc
high,low,2,2,med,med,UNACC
high,LOW,2,more,BIG,HIGH,acc
vhigh,high,4,4,med,low,unacc
low,med,2,2,MED,high,UNACC
vhigh,low,3,more,big,med,acc
LOW,high,4,2,small,low,unacc
low,low,4,2,small,med,unacc
high,med,4,more,small,high,acc
vhigh,low,3,2,med,low,unacc
0,NaN,0,NaN,NaN,NaN,
low,med,3,2,big,med,unacc
high,MED,4,MORE,BIG,high,acc
LOW,vhigh,4,MORE,MED,med,ACC
high,vhigh,4,4,big,low,unacc
med,med,5more,4,big,MED,acc
low,high,5more,4,big,med,acc
med,vhigh,4,4,med,low,unacc
high,LOW,4,more,small,med,unacc
VHIGH,med,4,2,MED,MED,unacc
low,med,3,more,big,med,good
med,med,3,more,med,med,acc
vhigh,vhigh,3,more,med,MED,unacc
HIGH,med,5more,4,big,low,unacc
vhigh,high,3,more,MED,high,UNACC
LOW,MED,5more,4,small,HIGH,good
high,low,4,2,small,MED,UNACC
vhigh,VHIGH,3,4,med,LOW,unacc
HIGH,vhigh,2,4,small,med,UNACC
vhigh,low,5MORE,4,small,low,unacc
high,HIGH,2,more,small,low,unacc
,NaN,NaN,,,NaN,0
high,low,5MORE,2,small,MED,UNACC
med,low,2,2,big,high,unacc
med,high,5more,2,BIG,med,UNACC
,,,,,,
LOW,vhigh,3,more,big,low,unacc
,,,,,,
LOW,med,3,4,MED,med,ACC
low,low,2,2,small,high,unacc
vhigh,vhigh,2,2,SMALL,MED,UNACC
high,med,5more,2,med,med,unacc
HIGH,med,3,more,med,low,unacc
LOW,low,4,more,big,low,unacc
,,,,,,
low,high,5more,4,big,LOW,unacc
,,,,,,
LOW,high,5more,4,small,low,unacc
med,low,3,more,med,low,unacc
,,,,,,
low,high,3,4,big,HIGH,vgood
VHIGH,med,5more,2,med,LOW,unacc
vhigh,med,4,4,big,high,acc
vhigh,LOW,5more,4,small,high,acc
LOW,low,2,2,BIG,med,UNACC
high,low,2,4,SMALL,med,UNACC
low,LOW,4,4,big,med,good
LOW,high,4,more,BIG,low,unacc
HIGH,vhigh,5MORE,2,big,high,unacc
vhigh,HIGH,3,4,med,low,unacc
high,vhigh,5more,2,big,low,unacc
low,med,4,4,BIG,low,UNACC
vhigh,med,4,more,med,low,unacc
low,high,3,4,small,med,acc
high,med,2,2,small,high,unacc
LOW,high,4,2,BIG,low,UNACC
,,,,,,
high,med,3,4,small,low,UNACC
vhigh,low,2,2,big,low,unacc
med,VHIGH,5more,4,med,low,unacc
MED,med,5more,2,MED,low,unacc
med,vhigh,5MORE,more,small,med,UNACC
VHIGH,VHIGH,2,more,SMALL,high,unacc
high,med,2,4,med,MED,unacc
high,med,5more,2,small,low,unacc
low,med,3,4,med,high,good
